,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,pct.diff
SCGB1A1,4.02E-49,4.501675856,0.913,0.472,5.74E-45,0,SCGB1A1,0.441
SLPI,1.23E-32,1.854456909,0.913,0.65,1.76E-28,0,SLPI,0.263
IGKC,1.44E-25,1.710618404,0.724,0.382,2.05E-21,0,IGKC,0.342
SCGB3A1,2.75E-24,1.763423765,0.949,0.728,3.93E-20,0,SCGB3A1,0.221
JUND,5.05E-23,0.930451567,0.862,0.602,7.20E-19,0,JUND,0.26
CXCL1,2.99E-21,1.693171195,0.622,0.22,4.27E-17,0,CXCL1,0.402
KRT7,4.98E-21,0.607415976,0.971,0.801,7.10E-17,0,KRT7,0.17
TMEM45A,1.34E-20,0.858631641,0.345,0.024,1.92E-16,0,TMEM45A,0.321
CXCL2,1.81E-20,1.264833241,0.847,0.496,2.58E-16,0,CXCL2,0.351
SFTPC,6.04E-17,1.026903419,0.844,0.663,8.62E-13,0,SFTPC,0.181
AHNAK,1.94E-15,0.555174161,0.713,0.402,2.77E-11,0,AHNAK,0.311
TM4SF1,3.75E-15,0.680091986,0.865,0.593,5.34E-11,0,TM4SF1,0.272
YBX3,6.32E-15,0.390272494,0.862,0.593,9.02E-11,0,YBX3,0.269
CXCL8,5.02E-14,1.488907379,0.713,0.431,7.16E-10,0,CXCL8,0.282
CD55,8.04E-13,0.58679094,0.967,0.85,1.15E-08,0,CD55,0.117
AKR1C1,2.48E-12,0.613832106,0.36,0.11,3.53E-08,0,AKR1C1,0.25
NCOA7,4.18E-12,0.806736185,0.876,0.638,5.96E-08,0,NCOA7,0.238
RPL32,4.46E-12,0.403243663,0.993,1,6.37E-08,0,RPL32,-0.007
SAT1,1.08E-11,0.473862993,0.996,0.984,1.55E-07,0,SAT1,0.012
CEBPD,1.16E-11,0.549531255,0.876,0.72,1.65E-07,0,CEBPD,0.156
SDC4,2.30E-11,0.627638099,0.898,0.728,3.28E-07,0,SDC4,0.17
FABP5,4.01E-11,0.665148223,0.385,0.142,5.72E-07,0,FABP5,0.243
MTRNR2L12,4.60E-11,1.20461892,0.738,0.524,6.56E-07,0,MTRNR2L12,0.214
PLCG2,7.28E-11,0.911394418,0.255,0.049,1.04E-06,0,PLCG2,0.206
CXCL3,9.72E-11,1.056404519,0.269,0.061,1.39E-06,0,CXCL3,0.208
ANXA1,1.61E-10,0.358564068,0.898,0.654,2.30E-06,0,ANXA1,0.244
RAC1,1.86E-10,0.348639724,0.815,0.634,2.65E-06,0,RAC1,0.181
RPL14,3.70E-10,0.371218081,0.989,1,5.28E-06,0,RPL14,-0.011
RHOBTB3,4.16E-10,0.371929216,0.338,0.114,5.94E-06,0,RHOBTB3,0.224
ERRFI1,1.57E-09,0.267693172,0.778,0.516,2.24E-05,0,ERRFI1,0.262
NAMPT,1.91E-09,0.529451927,0.589,0.374,2.73E-05,0,NAMPT,0.215
FOSB,5.71E-09,0.531735072,0.844,0.646,8.15E-05,0,FOSB,0.198
IGHM,1.24E-08,1.249706785,0.371,0.191,0.000177059,0,IGHM,0.18
NR4A1,1.31E-08,0.442564042,0.767,0.553,0.000186711,0,NR4A1,0.214
EZR,3.22E-08,0.337485116,0.964,0.919,0.000459994,0,EZR,0.045
RPL29,3.25E-08,0.313950437,0.978,0.992,0.000464291,0,RPL29,-0.014
KDM6B,4.83E-08,0.279426747,0.28,0.098,0.000688931,0,KDM6B,0.182
ADIRF,5.89E-08,0.36558164,0.884,0.72,0.000840067,0,ADIRF,0.164
ATF3,1.42E-07,0.43350451,0.625,0.411,0.002028968,0,ATF3,0.214
LDLR,2.35E-07,0.476347103,0.324,0.15,0.003353471,0,LDLR,0.174
ICAM1,2.92E-07,0.51297119,0.8,0.589,0.004172082,0,ICAM1,0.211
STEAP4,4.81E-07,0.422477393,0.825,0.642,0.006860056,0,STEAP4,0.183
NEDD4L,8.78E-07,0.377635328,0.633,0.476,0.012534297,0,NEDD4L,0.157
ALCAM,1.21E-06,0.471205704,0.382,0.224,0.017267457,0,ALCAM,0.158
MET,1.35E-06,0.310720425,0.338,0.171,0.019286244,0,MET,0.167
SOX4,2.25E-06,0.534593117,0.804,0.642,0.032093856,0,SOX4,0.162
TNFRSF12A,2.47E-06,0.325488816,0.367,0.187,0.035253612,0,TNFRSF12A,0.18
MUC4,3.29E-06,0.443434634,0.309,0.15,0.046961183,0,MUC4,0.159
EPAS1,3.79E-06,0.38728304,0.604,0.467,0.054140602,0,EPAS1,0.137
VEGFA,6.35E-06,0.428682432,0.291,0.146,0.090618355,0,VEGFA,0.145
CYP4B1,6.83E-06,0.301676693,0.836,0.663,0.097387298,0,CYP4B1,0.173
IGHA1,9.21E-06,0.583917564,0.698,0.561,0.131366935,0,IGHA1,0.137
GSTA1,1.02E-05,0.450490149,0.353,0.187,0.146113512,0,GSTA1,0.166
MAFF,1.13E-05,0.325027495,0.298,0.15,0.161436818,0,MAFF,0.148
ITPKC,1.33E-05,0.33736186,0.251,0.11,0.189877985,0,ITPKC,0.141
TOP1,1.42E-05,0.312874272,0.756,0.638,0.202307131,0,TOP1,0.118
MGP,1.45E-05,1.055707054,0.731,0.549,0.20750991,0,MGP,0.182
CCND1,1.73E-05,0.32914553,0.527,0.374,0.247433118,0,CCND1,0.153
WWTR1,1.83E-05,0.321514908,0.313,0.171,0.260966108,0,WWTR1,0.142
APOC1,2.01E-05,0.331086431,0.335,0.191,0.286494307,0,APOC1,0.144
KLF6,2.24E-05,0.37223299,0.88,0.744,0.319029864,0,KLF6,0.136
