"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"SFTPC",0,3.15006963899025,0.999,0.779,0,"0","SFTPC",0.22
"SFTPA1",0,2.83021962781713,0.999,0.467,0,"0","SFTPA1",0.532
"SFTPA2",0,2.70238273902197,0.999,0.503,0,"0","SFTPA2",0.496
"PGC",0,2.46545184686317,0.989,0.186,0,"0","PGC",0.803
"SERPINA1",0,2.10356912382644,0.984,0.337,0,"0","SERPINA1",0.647
"NPC2",0,2.021645064895,0.998,0.599,0,"0","NPC2",0.399
"SFTPB",0,1.91743621378141,1,0.656,0,"0","SFTPB",0.344
"SFTPD",0,1.91307556773681,0.996,0.267,0,"0","SFTPD",0.729
"SLPI",0,1.85050469408488,0.999,0.338,0,"0","SLPI",0.661
"NAPSA",0,1.83119246108694,0.999,0.351,0,"0","NAPSA",0.648
"CXCL2",0,1.72632201301825,0.952,0.285,0,"0","CXCL2",0.667
"WIF1",0,1.69058410494859,0.949,0.112,0,"0","WIF1",0.837
"SFTA2",0,1.63285926285573,0.994,0.254,0,"0","SFTA2",0.74
"NNMT",0,1.60973772011157,0.941,0.336,0,"0","NNMT",0.605
"CXCL17",0,1.47760568460763,0.981,0.223,0,"0","CXCL17",0.758
"CTSH",0,1.46270914947334,0.994,0.415,0,"0","CTSH",0.579
"LAMP3",0,1.45902209235194,0.932,0.061,0,"0","LAMP3",0.871
"LRRK2",0,1.45053033221769,0.887,0.098,0,"0","LRRK2",0.789
"FABP5",0,1.43037436620675,0.965,0.226,0,"0","FABP5",0.739
"PEBP4",0,1.42420847908018,0.963,0.154,0,"0","PEBP4",0.809
"DBI",0,1.40900010876186,0.986,0.459,0,"0","DBI",0.527
"ABCA3",0,1.38075705126375,0.931,0.11,0,"0","ABCA3",0.821
"FGGY",0,1.3704983153239,0.958,0.14,0,"0","FGGY",0.818
"PLA2G1B",0,1.35449846991084,0.876,0.057,0,"0","PLA2G1B",0.819
"SDR16C5",0,1.3496588937648,0.922,0.123,0,"0","SDR16C5",0.799
"SCGB3A1",0,1.31135645750859,0.995,0.68,0,"0","SCGB3A1",0.315
"SDC4",0,1.30544844782639,0.98,0.25,0,"0","SDC4",0.73
"DMBT1",0,1.29383526696042,0.69,0.06,0,"0","DMBT1",0.63
"MGST1",0,1.28449899354496,0.987,0.267,0,"0","MGST1",0.72
"CHI3L2",0,1.23505377498835,0.772,0.064,0,"0","CHI3L2",0.708
"AREG",0,1.21375746322933,0.92,0.219,0,"0","AREG",0.701
"CPB2",0,1.20362085997746,0.822,0.036,0,"0","CPB2",0.786
"SLC34A2",0,1.19878484018588,0.979,0.238,0,"0","SLC34A2",0.741
"TCIM",0,1.19573141551624,0.983,0.442,0,"0","TCIM",0.541
"CA2",0,1.18218158984631,0.823,0.085,0,"0","CA2",0.738
"MUC1",0,1.16160368266644,0.991,0.247,0,"0","MUC1",0.744
"C16orf89",0,1.15324807783233,0.958,0.194,0,"0","C16orf89",0.764
"CYB5A",0,1.13660763717326,0.993,0.511,0,"0","CYB5A",0.482
"MFSD2A",0,1.11885258839025,0.781,0.082,0,"0","MFSD2A",0.699
"STEAP4",0,1.11513357305009,0.814,0.142,0,"0","STEAP4",0.672
"GKN2",0,1.09037240302143,0.762,0.092,0,"0","GKN2",0.67
"MID1IP1",0,1.05579667022685,0.827,0.2,0,"0","MID1IP1",0.627
"SFTA3",0,1.0432597892485,0.939,0.199,0,"0","SFTA3",0.74
"LPCAT1",0,1.03517971888212,0.884,0.154,0,"0","LPCAT1",0.73
"HHIP",0,0.96801026217019,0.715,0.038,0,"0","HHIP",0.677
"ZDHHC3",0,0.957061417274932,0.748,0.166,0,"0","ZDHHC3",0.582
"C4BPA",0,0.954028525417643,0.936,0.171,0,"0","C4BPA",0.765
"PIGR",0,0.931773215511412,0.975,0.249,0,"0","PIGR",0.726
"AZGP1",0,0.929066144864588,0.426,0.03,0,"0","AZGP1",0.396
"IL20RA",0,0.924097439795385,0.648,0.067,0,"0","IL20RA",0.581
"SLC6A14",0,0.916500523894766,0.571,0.041,0,"0","SLC6A14",0.53
"SAT1",0,0.909094289000515,0.996,0.696,0,"0","SAT1",0.3
"SPTSSA",0,0.904994299962706,0.909,0.29,0,"0","SPTSSA",0.619
"CHI3L1",0,0.903497262598717,0.637,0.071,0,"0","CHI3L1",0.566
"MSMO1",0,0.882749926204161,0.786,0.153,0,"0","MSMO1",0.633
"MBIP",0,0.881445064803545,0.867,0.227,0,"0","MBIP",0.64
"SELENBP1",0,0.880411845937976,0.915,0.243,0,"0","SELENBP1",0.672
"FASN",0,0.876049557007342,0.741,0.086,0,"0","FASN",0.655
"ALPL",0,0.862615111788745,0.755,0.084,0,"0","ALPL",0.671
"ALOX15B",0,0.857094470511345,0.694,0.044,0,"0","ALOX15B",0.65
