p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPINK1	1.73019882780429e-39	3.8954899006877	0.762	0.09	3.86837853920484e-35
SCGB1A1	1.38155174990746e-36	-3.23938824303917	0.451	0.852	3.08887340244311e-32
CXCL2	5.81965568774049e-33	-3.3798952319227	0.336	0.781	1.30115861866502e-28
CEACAM6	9.08021606943832e-33	2.89340867454207	0.814	0.426	2.03015470880502e-28
CXCL1	1.9972878861924e-32	-3.53686223864704	0.085	0.555	4.46553625594897e-28
NAPSA	3.72147153138779e-32	2.23030467532039	0.885	0.51	8.32046604987681e-28
SLPI	4.82816508008806e-31	-1.79916276962219	0.56	0.858	1.07948114860609e-26
FABP5	5.76299698305389e-30	-2.27934417380288	0.153	0.639	1.28849086547119e-25
EEF1A1	1.20264301122152e-28	0.944895252014867	0.989	0.994	2.68886924448908e-24
CD74	1.74920219214804e-28	1.87442036069085	0.962	0.91	3.91086626120459e-24
HLA-DRA	3.5229459387807e-27	1.68819689420827	0.929	0.877	7.87660252992589e-23
HES4	1.15608636322709e-26	-3.21788070965083	0.057	0.439	2.58477789090313e-22
AQP3	1.89927863924287e-26	2.17564342675123	0.82	0.542	4.2464071816192e-22
RPL32	1.16331717020762e-25	-1.16829961073698	0.88	0.968	2.6009445291502e-21
SFTPC	1.35360116121917e-23	-3.62823685484929	0.65	0.91	3.02638147625383e-19
PRR15L	1.45014943552483e-23	3.80797184454578	0.579	0.123	3.24224410794641e-19
H3F3B	1.25952947386792e-22	0.956039074797337	0.918	0.852	2.81605599767389e-18
CEACAM5	1.42349727039298e-22	3.4939782802599	0.492	0.032	3.18265519714463e-18
C4BPA	2.29036194821953e-22	2.84094934310664	0.669	0.239	5.12079124382924e-18
HLA-DRB1	2.55099755039645e-22	1.82994691959592	0.852	0.755	5.70352032317637e-18
PGRMC1	4.11893996542074e-22	2.38349850940783	0.746	0.49	9.20912597468769e-18
SCGB3A1	4.13978972993129e-22	-1.68146288171789	0.721	0.877	9.25574187818037e-18
PGC	4.67334114116433e-22	-2.10997042008028	0.074	0.445	1.04486561234152e-17
CXCL3	4.68166150018608e-22	-3.76457255549979	0.117	0.49	1.0467258782116e-17
LDHB	5.87942775268671e-22	2.21415516816542	0.773	0.594	1.31452245694569e-17
LGALS3BP	6.62312182146114e-22	1.93712017247905	0.787	0.606	1.48079757684228e-17
CRABP2	1.16922878183685e-21	4.89761559996908	0.495	0.058	2.61416171043084e-17
HLA-DPA1	1.51238927562729e-21	1.95062495606864	0.833	0.742	3.38139994244749e-17
CTSH	1.76878368127327e-21	1.59363494715534	0.842	0.613	3.95464655459078e-17
LDLR	2.12301186790588e-21	-2.20476439288069	0.183	0.568	4.74662993426397e-17
TSC22D3	4.39875102599104e-21	1.78164798920757	0.817	0.632	9.83472754391076e-17
ACTB	5.36388920417094e-21	1.01323969906872	0.934	0.884	1.19925834826854e-16
TMEM45A	5.82322977187723e-21	-1.74653875510738	0.107	0.477	1.30195771239631e-16
CLDN10	7.92366470581705e-21	2.93509370175489	0.486	0.052	1.77157295492658e-16
RND3	1.69007929696061e-20	-2.34733352619238	0.057	0.381	3.77867929214454e-16
FMO5	4.11195483947229e-20	3.3718805055811	0.53	0.129	9.19350863009214e-16
SAT1	4.80943013706078e-20	-1.12739637115954	0.803	0.91	1.07529239004405e-15
HLA-C	9.58870552434446e-20	1.53045869190913	0.831	0.761	2.14384278113293e-15
LY6E	1.63287456329023e-19	1.76004753909266	0.779	0.626	3.65078094860429e-15
BCAP31	1.70191285529493e-19	2.29439005332751	0.691	0.458	3.80513676186841e-15
HLA-A	2.29625695906502e-19	1.35710315062598	0.877	0.852	5.13397130907757e-15
SFTPD	2.89742845896945e-19	2.1765490574763	0.732	0.406	6.4780705485639e-15
HLA-B	3.7899343069891e-19	1.18263661308126	0.896	0.832	8.47353512356623e-15
BCAT1	4.71294409962293e-19	4.20504166859993	0.429	0.026	1.0537200417937e-14
F3	5.32884920723071e-19	-1.87744612531761	0.224	0.6	1.19142410575264e-14
HLA-DRB5	7.2278483111705e-19	2.08137495486372	0.743	0.548	1.6160023254115e-14
LIF	8.70601023830367e-19	-5.61496747785893	0.011	0.239	1.94648976907993e-14
LAPTM4B	1.86797715757563e-18	2.80761068797432	0.604	0.284	4.1764233289076e-14
