ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0050907	GO:0050907	detection of chemical stimulus involved in sensory perception	69	-0.58815088978797	-3.31127226225659	1e-10	1.39975e-07	1.245e-07	3622	tags=78%, list=24%, signal=60%	OR2L2/OR5H14/OR2A25/OR52I1/OR52N4/SLC24A4/LPO/CST2/TAS1R3/OR6N1/OR8A1/OR13A1/OR10H5/TAS1R1/CA6/OR10K1/OR2B11/RTP5/RTP2/OR2I1P/OR2A7/TRPA1/OR52K1/OR52A1/OR51B5/OR51M1/OR52H1/OR56B1/OR2AG2/OR6A2/OR5AS1/OR8G5/TAS2R10/TAS2R13/TAS2R50/TAS2R20/TAS2R46/OR6C75/PKD1L3/OR1A1/OR7C1/OR10H1/OR14J1/TAS2R5/OR5P3/OR7G2/AZGP1/OR10G3/OR52N1/OR1I1/OR7A17/OR5P2/OR3A3/FFAR4
GO:0050911	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	43	-0.644805401394909	-3.20618784232984	1e-10	1.39975e-07	1.245e-07	3622	tags=86%, list=24%, signal=66%	OR2L2/OR5H14/OR2A25/OR52I1/OR52N4/SLC24A4/OR6N1/OR8A1/OR13A1/OR10H5/OR10K1/OR2B11/OR2I1P/OR2A7/OR52K1/OR52A1/OR51B5/OR51M1/OR52H1/OR56B1/OR2AG2/OR6A2/OR5AS1/OR8G5/OR6C75/OR1A1/OR7C1/OR10H1/OR14J1/OR5P3/OR7G2/OR10G3/OR52N1/OR1I1/OR7A17/OR5P2/OR3A3
GO:0007156	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	133	-0.406879998506992	-2.62596077045702	1e-10	1.39975e-07	1.245e-07	3648	tags=53%, list=24%, signal=41%	CADM3/CELSR3/PCDH10/PCDHB6/PCDHB12/PCDHGA5/PCDHGB7/PCDH12/DSCAML1/PCDH15/PTPRT/DSCAM/DCHS2/PCDHB1/PCDHB8/PCDHGA1/PCDHGA3/PCDHGA8/CDHR2/CDH16/DSG3/PCDH11Y/IGSF21/IGSF11/TENM3/PCDHA3/PCDHA5/PCDHGB2/PCDHGA7/PCDHGB5/PCDHGA9/PCDHGA11/PCDHGA12/L1CAM/CDH17/MYPN/CDH20/CDH12/CDH10/PCDHGB3/PCDH20/CDH13/NECTIN1/DSC3/PCDHGC3/CLSTN3/FAT1/PCDH11X/PCDHGA2/CDHR3/CDH19/PCDHAC1/CNTN6/ROBO1/PCDHA9/CDH5/SDK2/PCDHB4/CLSTN2/PCDH18/CDHR4/CDH23/PCDHGB6/PCDHB3/CADM2/ROBO2/CDHR1/CNTN4/PCDHA10/PCDHGA10
GO:0098742	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	222	-0.348139577997938	-2.43873432559862	1e-10	1.39975e-07	1.245e-07	3720	tags=49%, list=24%, signal=37%	KIRREL3/PTPRS/SCARF2/CD177/NTNG1/CADM3/CELSR3/CLDN11/PCDH10/PCDHB6/PCDHB12/PCDHGA5/PCDHGB7/PCDH12/TENM2/TENM1/DSCAML1/PCDH15/LRFN5/PTPRT/GATA5/DSCAM/ADGRL3/DCHS2/PCDHB1/PCDHB8/PCDHGA1/PCDHGA3/PCDHGA8/CDHR2/SLITRK2/NTNG2/CBLN1/CDH16/DSG3/MAG/PCDH11Y/IGSF21/DAB1/IGSF11/TENM3/PCDHA3/PCDHA5/PCDHGB2/PCDHGA7/PCDHGB5/PCDHGA9/PCDHGA11/PCDHGA12/CLDN20/IL1RAPL1/L1CAM/CDH17/CRB2/MYPN/CDH20/CLDN14/GRID2/CDH12/CDH10/PCDHGB3/PCDH20/CDH13/CLDN22/FLRT3/PTPRD/MYADM/NECTIN1/DSC3/PCDHGC3/ICAM1/CLSTN3/FAT1/PCDH11X/PCDHGA2/CDHR3/CDH19/PCDHAC1/CLDN6/CNTN6/ROBO1/PCDHA9/CDH5/SDK2/PCDHB4/CLSTN2/CLDN19/CLDN5/APOA1/NLGN1/PCDH18/CLDN8/CDHR4/CDH23/CX3CL1/PCDHGB6/PCDHB3/CADM2/ROBO2/CDHR1/LRRC4/CNTN4/LRRC4C/PCDHA10/CLDN18/LGALS7B/PCDHGA10/BMP2
GO:0007600	GO:0007600	sensory perception	421	-0.254639303641973	-1.98502484436837	1.92661190752757e-10	2.15742001404938e-07	1.91890545989746e-07	3808	tags=45%, list=25%, signal=35%	CCL3/REEP6/WDR36/MYO15A/ATP6V1B1/MC1R/NTRK1/OR2L2/MYO7B/ESPNL/GRM7/TMIE/OR5H14/CRYGS/NPY1R/COL11A2/OPRM1/OR2A25/PKHD1L1/OR52I1/OR52N4/USH1C/MRGPRX2/CACNB2/PCDH15/KCNA1/PDE6H/COL2A1/KERA/CABP1/P2RX2/SLC24A4/NR2E3/CPLX3/GJC1/LPO/PRCD/PDE6G/CST2/TAS1R3/COL11A1/OR6N1/RD3/SLC4A10/CRYBA2/TRPM8/PROK2/GJC3/GRM8/PNOC/OR8A1/MYO3A/OR13A1/SRRM4/HTR2A/OR10H5/RGS9BP/CRYBA4/TAS1R1/CA6/KCNA2/OR10K1/KCNJ10/OR2B11/OTOF/CNGA3/RTP5/ATP2B2/IMPG2/BFSP2/SOX14/RTP2/LRIT3/POU4F3/OR2I1P/GABRR2/NR2E1/GRM1/HOXA1/POU6F2/OR2A7/CRYGN/PPEF1/OPRK1/TRPA1/CNGB3/TMC1/CRB2/PRDM12/OR52K1/OR52A1/OR51B5/OR51M1/OR52H1/OR56B1/CNGA4/OR2AG2/OR6A2/PAX6/OR5AS1/KCNK4/OR8G5/PDE6C/TAS2R10/PRR4/TAS2R13/TAS2R50/TAS2R20/TAS2R46/SYT10/WNT10B/OR6C75/MIP/EPYC/GJA3/GRK1/PKD1L3/OR1A1/AIPL1/ASIC2/OR7C1/OR10H1/TULP2/TSPEAR/CHRNA9/OR14J1/TAS2R5/OR5P3/IAPP/RCVRN/CRYBA1/OR7G2/CCDC50/RGS16/RP1/AZGP1/GRIK2/DIAPH1/SCNN1G/PDE6A/UCN/RPGR/GPR179/OR10G3/NPR2/MYO1A/GUCA1B/OBP2A/RIPOR2/CHRNA7/OTOA/OBP2B/CCDC66/COCH/EPHB1/OR52N1/TECTA/RABGGTB/EYA4/OR1I1/CACNB4/CEACAM16/MYO7A/KCND2/OR7A17/CLDN19/ADRA2A/CNTN5/OR5P2/TRPM1/UGT2A1/LRP2/SLC26A4/CDH23/FABP5/SOBP/PIEZO2/CHRNA10/KCNE1/LCTL/ANO1/SLC24A1/OR3A3/MME/FFAR4/CCL2/PGAP1/TMEM100
GO:0009593	GO:0009593	detection of chemical stimulus	100	-0.430063639757118	-2.62207772794178	6.34854443526863e-10	5.92425004884484e-07	5.26929188127296e-07	3660	tags=62%, list=24%, signal=48%	CASQ2/RYR2/OR2L2/OR5H14/OR2A25/OR52I1/OR52N4/P2RX2/SLC24A4/LPO/CST2/SSC5D/TAS1R3/OR6N1/CASR/OR8A1/OR13A1/OR10H5/TAS1R1/CA6/OR10K1/OR2B11/RTP5/RTP2/OR2I1P/OR2A7/TRPA1/OR52K1/OR52A1/OR51B5/OR51M1/OR52H1/OR56B1/OR2AG2/OR6A2/OR5AS1/OR8G5/TAS2R10/TAS2R13/TAS2R50/TAS2R20/TAS2R46/OR6C75/PKD1L3/OR1A1/LBP/OR7C1/OR10H1/OR14J1/TAS2R5/OR5P3/OR7G2/AZGP1/OR10G3/OR52N1/OR1I1/OR7A17/OR5P2/KCNIP2/OR3A3/FFAR4/KCNMB2
GO:0050906	GO:0050906	detection of stimulus involved in sensory perception	117	-0.401472572241096	-2.57513092445759	1.74048869134456e-09	1.39214231183403e-06	1.23823338327084e-06	3652	tags=62%, list=24%, signal=47%	NTRK1/OR2L2/OR5H14/OR2A25/OR52I1/OR52N4/KCNA1/SLC24A4/LPO/CST2/TAS1R3/COL11A1/OR6N1/OR8A1/OR13A1/HTR2A/OR10H5/RGS9BP/TAS1R1/CA6/OR10K1/OR2B11/RTP5/RTP2/OR2I1P/OR2A7/PPEF1/TRPA1/TMC1/PRDM12/OR52K1/OR52A1/OR51B5/OR51M1/OR52H1/OR56B1/OR2AG2/OR6A2/OR5AS1/KCNK4/OR8G5/TAS2R10/TAS2R13/TAS2R50/TAS2R20/TAS2R46/OR6C75/PKD1L3/OR1A1/ASIC2/OR7C1/OR10H1/CHRNA9/OR14J1/TAS2R5/OR5P3/OR7G2/AZGP1/GRIK2/OR10G3/CCDC66/EPHB1/OR52N1/OR1I1/CACNB4/OR7A17/OR5P2/PIEZO2/CHRNA10/ANO1/OR3A3/FFAR4
GO:1990868	GO:1990868	response to chemokine	87	-0.442402365242626	-2.59629781053322	3.51909268987548e-09	2.18926666340142e-06	1.94723128839777e-06	3103	tags=49%, list=20%, signal=40%	CCL8/CCL16/CCL14/CCL25/GPR75/GPR17/CXCR1/CCR9/PF4/CCR8/XCR1/CCR3/PPBP/CCL26/CCL24/CCL11/MPL/CX3CR1/OXSR1/ZC3H12A/PADI2/CCRL2/CCL4/CCL3L1/PF4V1/RIPOR2/ROBO1/CX3CL1/GPR35/CCR4/CCL21/CXCL8/CXCL2/ACKR4/CCL2/XCL2/CXCL1/CXCL3/ACKR3/CCL20/SLIT3/LOX/XCL1
GO:1990869	GO:1990869	cellular response to chemokine	87	-0.442402365242626	-2.59629781053322	3.51909268987548e-09	2.18926666340142e-06	1.94723128839777e-06	3103	tags=49%, list=20%, signal=40%	CCL8/CCL16/CCL14/CCL25/GPR75/GPR17/CXCR1/CCR9/PF4/CCR8/XCR1/CCR3/PPBP/CCL26/CCL24/CCL11/MPL/CX3CR1/OXSR1/ZC3H12A/PADI2/CCRL2/CCL4/CCL3L1/PF4V1/RIPOR2/ROBO1/CX3CL1/GPR35/CCR4/CCL21/CXCL8/CXCL2/ACKR4/CCL2/XCL2/CXCL1/CXCL3/ACKR3/CCL20/SLIT3/LOX/XCL1
GO:0007606	GO:0007606	sensory perception of chemical stimulus	102	-0.421540813375643	-2.58396944074678	6.6765681302373e-09	3.73821049611987e-06	3.32493092885818e-06	3622	tags=62%, list=24%, signal=48%	OR2L2/OR5H14/OR2A25/OR52I1/OR52N4/P2RX2/SLC24A4/LPO/CST2/TAS1R3/OR6N1/OR8A1/OR13A1/OR10H5/TAS1R1/CA6/OR10K1/OR2B11/RTP5/RTP2/OR2I1P/OR2A7/TRPA1/OR52K1/OR52A1/OR51B5/OR51M1/OR52H1/OR56B1/CNGA4/OR2AG2/OR6A2/OR5AS1/OR8G5/TAS2R10/TAS2R13/TAS2R50/TAS2R20/TAS2R46/SYT10/WNT10B/OR6C75/PKD1L3/OR1A1/ASIC2/OR7C1/OR10H1/OR14J1/TAS2R5/OR5P3/OR7G2/AZGP1/SCNN1G/OR10G3/OBP2A/OBP2B/OR52N1/OR1I1/OR7A17/OR5P2/UGT2A1/OR3A3/FFAR4
