##**Please cite: Zhou KR, Liu S, Sun WJ, Zheng LL, Zhou H, Yang JH, Qu LH. ChIPBase v2.0: decoding transcriptional regulatory networks of non-coding RNAs and protein-coding genes from ChIP-seq data. Nucleic Acids Res. 2017 Jan 04;45(D1):D43-D50. Epub 2016 Oct 23
##**Please cite: Yang JH, Li JH, Jiang S, Zhou H, Qu LH. ChIPBase: a database for decoding the transcriptional regulation of long non-coding RNA and microRNA genes from ChIP-Seq data. Nucleic Acids Res. 2013 Jan;41(Database issue):D177-87.

##ChIPBase project, hg38, the statistics of transcription factors that bound around CD74(ENSG00000019582) gene
##Regulatory domain is [-1kb, 1kb] (motif: Y)
##The number column below is corresponding to the motif status

Transcription factor	Synonyms	Official Full Name	Number of samples found (upstream)	Number of samples found (downstream)	Number of binding sites contain motif (upstream)	Number of binding sites contain motif (downstream)
MCM2	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MCRS1	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MECOM	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MED1	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MED26	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MEF2B	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	3
MEF2C	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MEIS1	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MITF	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	2	0	2
MLLT3	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MTF2	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	1	0	1
MXI1	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	2	0	2
MYBL2	CLIP, DHLAG, HLADG, II, Ia-GAMMA, p33	CD74 molecule	0	2	0	2
