##**Please cite: Zhou KR, Liu S, Sun WJ, Zheng LL, Zhou H, Yang JH, Qu LH. ChIPBase v2.0: decoding transcriptional regulatory networks of non-coding RNAs and protein-coding genes from ChIP-seq data. Nucleic Acids Res. 2017 Jan 04;45(D1):D43-D50. Epub 2016 Oct 23
##**Please cite: Yang JH, Li JH, Jiang S, Zhou H, Qu LH. ChIPBase: a database for decoding the transcriptional regulation of long non-coding RNA and microRNA genes from ChIP-Seq data. Nucleic Acids Res. 2013 Jan;41(Database issue):D177-87.

##ChIPBase project, hg38, the statistics of transcription factors that bound around CTSH(ENSG00000103811) gene
##Regulatory domain is [-1kb, 1kb] (motif: Y)
##The number column below is corresponding to the motif status

Transcription factor	Synonyms	Official Full Name	Number of samples found (upstream)	Number of samples found (downstream)	Number of binding sites contain motif (upstream)	Number of binding sites contain motif (downstream)
ARID3A	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	3	0	3
DUX4	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
E2F1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
E2F4	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
E2F6	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
EBF1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
EGR1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	5	0	5
EGR2	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	2	0	4
EGR3	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	4
EHF	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
ELF1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
ELF3	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
EOMES	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	3
EP300	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	10	0	11
ERCC3	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
ERG	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	4	0	4
ESR1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	4	0	7
ETS1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	3	0	3
ETV1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
FAIRE	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
FIP1L1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
FLI1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	2	0	2
FOS	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	11	0	11
FOSL1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	3	0	3
FOSL2	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	7	0	7
FOXA1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	26	0	28
FOXA2	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	20	0	22
FOXA3	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	3	0	3
FOXL2	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	2	0	2
FOXM1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
FOXO1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	2	0	2
FOXO3	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
FOXP1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	3	0	3
FOXP4	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
GATA1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	10	0	11
GATA2	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	13	0	16
GATA3	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	6	0	8
GATA4	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	6	0	10
GATA6	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	13	0	21
GFI1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
GLIS1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
ARRB1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
GRHL1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	2	0	4
GRHL2	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	6	0	12
GRHL3	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	2
GTF2F1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
GTF2I	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
ASXL3	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
ATF1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
HDAC1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	5	0	6
HDAC2	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
HEY1	ACC-4, ACC-5, ACC4, ACC5, CPSB	cathepsin H	0	1	0	1
